0.016988	512	512	512	4
0.014322	512	512	512	9
0.010361	512	512	512	16
0.012692	512	512	512	25
0.023803	512	512	512	4
0.008483	512	512	512	9
0.011068	512	512	512	16
0.011462	512	512	512	25
0.011867	512	512	512	4
0.008767	512	512	512	9
0.011380	512	512	512	16
0.011630	512	512	512	25
0.018914	512	512	512	4
0.011558	512	512	512	9
0.011361	512	512	512	16
0.012193	512	512	512	25
0.012517	512	512	512	4
0.009630	512	512	512	9
0.011609	512	512	512	16
0.011305	512	512	512	25
0.015321	512	512	512	4
0.009351	512	512	512	9
0.011210	512	512	512	16
0.012604	512	512	512	25
