2.217677	4096	4096	4096	4	2
3.404847	4096	4096	4096	9	2
2.265233	4096	4096	4096	16	2
1.885229	4096	4096	4096	25	2
2.589382	4096	4096	4096	36	2
4.955982	4096	4096	4096	49	2
3.318508	4096	4096	4096	64	2
4.815227	4096	4096	4096	81	2
4.336243	4096	4096	4096	100	2
7.496787	4096	4096	4096	121	2
5.649165	4096	4096	4096	144	2
6.870230	4096	4096	4096	169	2
6.208041	4096	4096	4096	196	2
7.352581	4096	4096	4096	225	2
7.510117	4096	4096	4096	256	2
6.859314	4096	4096	4096	289	2
7.196939	4096	4096	4096	324	2
