4.306660	4096	4096	4096	4
2.646027	4096	4096	4096	9
2.225592	4096	4096	4096	16
2.174159	4096	4096	4096	25
2.372694	4096	4096	4096	36
2.864926	4096	4096	4096	49
2.999902	4096	4096	4096	64
3.205221	4096	4096	4096	81
3.786267	4096	4096	4096	100
4.188890	4096	4096	4096	121
3.674774	4096	4096	4096	144
5.805699	4096	4096	4096	169
4.953266	4096	4096	4096	196
5.421094	4096	4096	4096	225
6.329003	4096	4096	4096	256
7.203713	4096	4096	4096	289
7.227281	4096	4096	4096	324
9.333219	4096	4096	4096	400
10.054951	4096	4096	4096	441
11.598921	4096	4096	4096	484
