19.446943	4096	4096	4096	4	1
20.189672	4096	4096	4096	9	1
16.852720	4096	4096	4096	16	1
15.477664	4096	4096	4096	25	1
11.089194	4096	4096	4096	36	1
16.093175	4096	4096	4096	49	1
12.935647	4096	4096	4096	64	1
8.445215	4096	4096	4096	81	1
9.016499	4096	4096	4096	100	1
7.540829	4096	4096	4096	121	1
6.631570	4096	4096	4096	144	1
7.658653	4096	4096	4096	169	1
7.702323	4096	4096	4096	196	1
7.054921	4096	4096	4096	225	1
7.532683	4096	4096	4096	256	1
7.267628	4096	4096	4096	289	1
7.742853	4096	4096	4096	324	1
