10.239246	4096	4096	4096	4	12
17.220172	4096	4096	4096	9	12
17.021807	4096	4096	4096	16	12
15.684824	4096	4096	4096	25	12
11.246332	4096	4096	4096	36	12
15.583644	4096	4096	4096	49	12
9.713916	4096	4096	4096	64	12
8.627268	4096	4096	4096	81	12
8.950263	4096	4096	4096	100	12
9.907408	4096	4096	4096	121	12
10.432318	4096	4096	4096	144	12
12.779276	4096	4096	4096	169	12
14.137144	4096	4096	4096	196	12
16.484395	4096	4096	4096	225	12
17.516624	4096	4096	4096	256	12
21.121617	4096	4096	4096	289	12
24.133665	4096	4096	4096	324	12
