2.553330	4096	4096	4096	4	4
2.974495	4096	4096	4096	9	4
2.420352	4096	4096	4096	16	4
2.392944	4096	4096	4096	25	4
3.239593	4096	4096	4096	36	4
3.387230	4096	4096	4096	49	4
3.493636	4096	4096	4096	64	4
5.215656	4096	4096	4096	81	4
4.314042	4096	4096	4096	100	4
6.283391	4096	4096	4096	121	4
6.538039	4096	4096	4096	144	4
7.751158	4096	4096	4096	169	4
7.861439	4096	4096	4096	196	4
8.769092	4096	4096	4096	225	4
8.389496	4096	4096	4096	256	4
8.758566	4096	4096	4096	289	4
10.316556	4096	4096	4096	324	4
